survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone,age_group,age_standardized,fare_standardized
0,3,male,22.0,1,0,7.25,S,Third,man,True,Southampton,no,False,Adult,-0.563356950237803,-0.4999583222338392
1,1,female,38.0,1,0,71.2833,C,First,woman,False,Cherbourg,yes,False,Adult,0.6688404642819641,0.7885027560515823
1,3,female,26.0,0,0,7.925,S,Third,woman,False,Southampton,yes,True,Adult,-0.25530759660786123,-0.48637615127212613
1,1,female,35.0,1,0,53.1,S,First,woman,False,Southampton,yes,False,Adult,0.43780344905950774,0.4226232164247428
0,3,male,35.0,0,0,8.05,S,Third,man,True,Southampton,no,True,Adult,0.43780344905950774,-0.4838609344273645
0,3,male,28.0,0,0,8.4583,Q,Third,man,True,Queenstown,no,True,Adult,-0.10128291979289036,-0.4756452301256349
0,1,male,54.0,0,0,51.8625,S,First,man,True,Southampton,no,True,Adult,1.901037878801731,0.3977225696616022
0,3,male,2.0,3,1,21.075,S,Third,child,False,Southampton,no,False,Child,-2.103603718387512,-0.22177533920319809
1,3,female,27.0,0,2,11.1333,S,Third,woman,False,Southampton,yes,False,Adult,-0.1782952582003758,-0.4218195896477352
1,2,female,14.0,1,0,30.0708,C,Second,child,False,Cherbourg,yes,False,Teenager,-1.1794556574976864,-0.04076423766634156
1,3,female,4.0,1,1,16.7,S,Third,child,False,Southampton,yes,False,Child,-1.949579041572541,-0.3098079287698567
1,1,female,58.0,0,0,26.55,S,First,woman,False,Southampton,yes,True,Adult,2.209087232431673,-0.11160884140263673
0,3,male,20.0,0,0,8.05,S,Third,man,True,Southampton,no,True,Adult,-0.7173816270527739,-0.4838609344273645
0,3,male,39.0,1,5,31.275,S,Third,man,True,Southampton,no,False,Adult,0.7458528026894495,-0.016533644670645498
0,3,female,14.0,0,0,7.8542,S,Third,child,False,Southampton,no,True,Teenager,-1.1794556574976864,-0.4878007700929992
1,2,female,55.0,0,0,16.0,S,Second,woman,False,Southampton,yes,True,Adult,1.9780502172092165,-0.32389314310052203
0,3,male,2.0,4,1,29.125,Q,Third,child,False,Queenstown,no,False,Child,-2.103603718387512,-0.05979537440054626
1,2,male,28.0,0,0,13.0,S,Second,man,True,Southampton,yes,True,Adult,-0.10128291979289036,-0.3842583473748022
0,3,female,31.0,1,0,18.0,S,Third,woman,False,Southampton,no,False,Adult,0.12975409542956598,-0.28364967358433524
1,3,female,28.0,0,0,7.225,C,Third,woman,False,Cherbourg,yes,True,Adult,-0.10128291979289036,-0.5004613656027915
0,2,male,35.0,0,0,26.0,S,Second,man,True,Southampton,no,True,Adult,0.43780344905950774,-0.12267579551958811
1,2,male,34.0,0,0,13.0,S,Second,man,True,Southampton,yes,True,Adult,0.3607911106520223,-0.3842583473748022
1,3,female,15.0,0,0,8.0292,Q,Third,child,False,Queenstown,yes,True,Teenager,-1.1024433190902012,-0.4842794665103328
1,1,male,28.0,0,0,35.5,S,First,man,True,Southampton,yes,True,Adult,-0.10128291979289036,0.0684806846822991
0,3,female,8.0,3,1,21.075,S,Third,child,False,Southampton,no,False,Child,-1.6415296879425991,-0.22177533920319809
1,3,female,38.0,1,5,31.3875,S,Third,woman,False,Southampton,yes,False,Adult,0.6688404642819641,-0.014269949510359977
0,3,male,28.0,0,0,7.225,C,Third,man,True,Cherbourg,no,True,Adult,-0.10128291979289036,-0.5004613656027915
0,1,male,19.0,3,2,263.0,S,First,man,True,Southampton,no,False,Adult,-0.7943939654602593,4.646175342148545
1,3,female,28.0,0,0,7.8792,Q,Third,woman,False,Queenstown,yes,True,Adult,-0.10128291979289036,-0.4872977267240468
0,3,male,28.0,0,0,7.8958,S,Third,man,True,Southampton,no,True,Adult,-0.10128291979289036,-0.48696370592706245
0,1,male,40.0,0,0,27.7208,C,First,man,True,Cherbourg,no,True,Adult,0.822865141096935,-0.088050314347861
1,1,female,28.0,1,0,146.5208,C,First,woman,False,Cherbourg,yes,False,Adult,-0.10128291979289036,2.302411774913634
1,3,female,28.0,0,0,7.75,Q,Third,woman,False,Queenstown,yes,True,Adult,-0.10128291979289036,-0.4898974548547925
0,2,male,66.0,0,0,10.5,S,Second,man,True,Southampton,no,True,Senior,2.825185939691557,-0.4345626842700357
0,1,male,28.0,1,0,82.1708,C,First,man,True,Cherbourg,no,False,Adult,-0.10128291979289036,1.0075781432303241
0,1,male,42.0,1,0,52.0,S,First,man,True,Southampton,no,False,Adult,0.9768898179119059,0.40048930819084005
1,3,male,28.0,0,0,7.2292,C,Third,man,True,Cherbourg,yes,True,Adult,-0.10128291979289036,-0.5003768543168076
0,3,male,21.0,0,0,8.05,S,Third,man,True,Southampton,no,True,Adult,-0.6403692886452884,-0.4838609344273645
0,3,female,18.0,2,0,18.0,S,Third,woman,False,Southampton,no,False,Adult,-0.8714063038677448,-0.28364967358433524
1,3,female,14.0,1,0,11.2417,C,Third,child,False,Cherbourg,yes,False,Teenager,-1.1794556574976864,-0.4196383935999578
0,3,female,40.0,1,0,9.475,S,Third,woman,False,Southampton,no,False,Adult,0.822865141096935,-0.45518746239708135
0,2,female,27.0,1,0,21.0,S,Second,woman,False,Southampton,no,False,Adult,-0.1782952582003758,-0.22328446931005508
0,3,male,28.0,0,0,7.8958,C,Third,man,True,Cherbourg,no,True,Adult,-0.10128291979289036,-0.48696370592706245
1,2,female,3.0,1,2,41.5792,C,Second,child,False,Cherbourg,yes,False,Child,-2.0265913799800264,0.19080473462370046
1,3,female,19.0,0,0,7.8792,Q,Third,woman,False,Queenstown,yes,True,Adult,-0.7943939654602593,-0.4872977267240468
0,3,male,28.0,0,0,8.05,S,Third,man,True,Southampton,no,True,Adult,-0.10128291979289036,-0.4838609344273645
0,3,male,28.0,1,0,15.5,Q,Third,man,True,Queenstown,no,False,Adult,-0.10128291979289036,-0.33395401047956874
1,3,female,28.0,0,0,7.75,Q,Third,woman,False,Queenstown,yes,True,Adult,-0.10128291979289036,-0.4898974548547925
0,3,male,28.0,2,0,21.6792,C,Third,man,True,Cherbourg,no,False,Adult,-0.10128291979289036,-0.209617787062358
0,3,female,18.0,1,0,17.8,S,Third,woman,False,Southampton,no,False,Adult,-0.8714063038677448,-0.2876740205359539
0,3,male,7.0,4,1,39.6875,S,Third,child,False,Southampton,no,False,Child,-1.7185420263500846,0.15274044898181519
0,3,male,21.0,0,0,7.8,S,Third,man,True,Southampton,no,True,Adult,-0.6403692886452884,-0.4888913681168878
1,1,female,49.0,1,0,76.7292,C,First,woman,False,Cherbourg,yes,False,Adult,1.515976186764304,0.8980837113706833
1,2,female,29.0,1,0,26.0,S,Second,woman,False,Southampton,yes,False,Adult,-0.024270581385404916,-0.12267579551958811
0,1,male,65.0,0,1,61.9792,C,First,man,True,Cherbourg,no,False,Senior,2.7481736012840714,0.6012881236888056
1,1,male,28.0,0,0,35.5,S,First,man,True,Southampton,yes,True,Adult,-0.10128291979289036,0.0684806846822991
1,2,female,21.0,0,0,10.5,S,Second,woman,False,Southampton,yes,True,Adult,-0.6403692886452884,-0.4345626842700357
0,3,male,28.5,0,0,7.2292,C,Third,man,True,Cherbourg,no,True,Adult,-0.06277675058914764,-0.5003768543168076
1,2,female,5.0,1,2,27.75,S,Second,child,False,Southampton,yes,False,Child,-1.8725667031650555,-0.08746275969292468
0,3,male,11.0,5,2,46.9,S,Third,child,False,Southampton,no,False,Child,-1.4104926727201428,0.29786846092456376
0,3,male,22.0,0,0,7.2292,C,Third,man,True,Cherbourg,no,True,Adult,-0.563356950237803,-0.5003768543168076
0,1,male,45.0,1,0,83.475,S,First,man,True,Southampton,no,False,Adult,1.2079268331343622,1.0338209097018294
0,3,male,4.0,3,2,27.9,S,Third,child,False,Southampton,no,False,Child,-1.949579041572541,-0.08444449947921069
